Code,Description1
B19013001,Households: Median Household Income In The Past 12 Months (In 2012 Inflation-Adjusted Dollars)
B19013001s,Std. Error: Households: Median Household Income In The Past 12 Months (In 2012 Inflation-Adjusted Dollars)
B23006001,Population 25 To 64 Years
B23006002,Population 25 To 64 Years: Less Than High School Graduate
B23006003,Population 25 To 64 Years: Less Than High School Graduate: In Labor Force
B23006004,Population 25 To 64 Years: Less Than High School Graduate: In Labor Force: In Armed Forces
B23006005,Population 25 To 64 Years: Less Than High School Graduate: In Labor Force: Civilian
B23006006,Population 25 To 64 Years: Less Than High School Graduate: In Labor Force: Civilian: Employed
B23006007,Population 25 To 64 Years: Less Than High School Graduate: In Labor Force: Civilian: Unemployed
B23006008,Population 25 To 64 Years: Less Than High School Graduate: Not In Labor Force
B23006009,Population 25 To 64 Years: High School Graduate
B23006010,Population 25 To 64 Years: High School Graduate: In Labor Force
B23006011,Population 25 To 64 Years: High School Graduate: In Labor Force: In Armed Forces
B23006012,Population 25 To 64 Years: High School Graduate: In Labor Force: Civilian
B23006013,Population 25 To 64 Years: High School Graduate: In Labor Force: Civilian: Employed
B23006014,Population 25 To 64 Years: High School Graduate: In Labor Force: Civilian: Unemployed
B23006015,Population 25 To 64 Years: High School Graduate: Not In Labor Force
B23006016,Population 25 To 64 Years: Some College Or Associate's Degree
B23006017,Population 25 To 64 Years: Some College Or Associate's Degree: In Labor Force
B23006018,Population 25 To 64 Years: Some College Or Associate's Degree: In Labor Force: In Armed Forces
B23006019,Population 25 To 64 Years: Some College Or Associate's Degree: In Labor Force: Civilian
B23006020,Population 25 To 64 Years: Some College Or Associate's Degree: In Labor Force: Civilian: Employed
B23006021,Population 25 To 64 Years: Some College Or Associate's Degree: In Labor Force: Civilian: Unemployed
B23006022,Population 25 To 64 Years: Some College Or Associate's Degree: Not In Labor Force
B23006023,Population 25 To 64 Years: Bachelor's Degree Or Higher
B23006024,Population 25 To 64 Years: Bachelor's Degree Or Higher: In Labor Force
B23006025,Population 25 To 64 Years: Bachelor's Degree Or Higher: In Labor Force: In Armed Forces
B23006026,Population 25 To 64 Years: Bachelor's Degree Or Higher: In Labor Force: Civilian
B23006027,Population 25 To 64 Years: Bachelor's Degree Or Higher: In Labor Force: Civilian: Employed
B23006028,Population 25 To 64 Years: Bachelor's Degree Or Higher: In Labor Force: Civilian: Unemployed
B23006029,Population 25 To 64 Years: Bachelor's Degree Or Higher: Not In Labor Force
B23006001s,Std. Error: Population 25 To 64 Years
B23006002s,Std. Error: Population 25 To 64 Years: Less Than High School Graduate
B23006003s,Std. Error: Population 25 To 64 Years: Less Than High School Graduate: In Labor Force
B23006004s,Std. Error: Population 25 To 64 Years: Less Than High School Graduate: In Labor Force: In Armed Forces
B23006005s,Std. Error: Population 25 To 64 Years: Less Than High School Graduate: In Labor Force: Civilian
B23006006s,Std. Error: Population 25 To 64 Years: Less Than High School Graduate: In Labor Force: Civilian: Employed
B23006007s,Std. Error: Population 25 To 64 Years: Less Than High School Graduate: In Labor Force: Civilian: Unemployed
B23006008s,Std. Error: Population 25 To 64 Years: Less Than High School Graduate: Not In Labor Force
B23006009s,Std. Error: Population 25 To 64 Years: High School Graduate
B23006010s,Std. Error: Population 25 To 64 Years: High School Graduate: In Labor Force
B23006011s,Std. Error: Population 25 To 64 Years: High School Graduate: In Labor Force: In Armed Forces
B23006012s,Std. Error: Population 25 To 64 Years: High School Graduate: In Labor Force: Civilian
B23006013s,Std. Error: Population 25 To 64 Years: High School Graduate: In Labor Force: Civilian: Employed
B23006014s,Std. Error: Population 25 To 64 Years: High School Graduate: In Labor Force: Civilian: Unemployed
B23006015s,Std. Error: Population 25 To 64 Years: High School Graduate: Not In Labor Force
B23006016s,Std. Error: Population 25 To 64 Years: Some College Or Associate's Degree
B23006017s,Std. Error: Population 25 To 64 Years: Some College Or Associate's Degree: In Labor Force
B23006018s,Std. Error: Population 25 To 64 Years: Some College Or Associate's Degree: In Labor Force: In Armed Forces
B23006019s,Std. Error: Population 25 To 64 Years: Some College Or Associate's Degree: In Labor Force: Civilian
B23006020s,Std. Error: Population 25 To 64 Years: Some College Or Associate's Degree: In Labor Force: Civilian: Employed
B23006021s,Std. Error: Population 25 To 64 Years: Some College Or Associate's Degree: In Labor Force: Civilian: Unemployed
B23006022s,Std. Error: Population 25 To 64 Years: Some College Or Associate's Degree: Not In Labor Force
B23006023s,Std. Error: Population 25 To 64 Years: Bachelor's Degree Or Higher
B23006024s,Std. Error: Population 25 To 64 Years: Bachelor's Degree Or Higher: In Labor Force
B23006025s,Std. Error: Population 25 To 64 Years: Bachelor's Degree Or Higher: In Labor Force: In Armed Forces
B23006026s,Std. Error: Population 25 To 64 Years: Bachelor's Degree Or Higher: In Labor Force: Civilian
B23006027s,Std. Error: Population 25 To 64 Years: Bachelor's Degree Or Higher: In Labor Force: Civilian: Employed
B23006028s,Std. Error: Population 25 To 64 Years: Bachelor's Degree Or Higher: In Labor Force: Civilian: Unemployed
B23006029s,Std. Error: Population 25 To 64 Years: Bachelor's Degree Or Higher: Not In Labor Force
